Repository,Type,YAML File Name,YAML File Path,YAML File Link,Status,Line Number,Level,Rule,Description
gp_btp_repo,private,jb_btp_vendor_contact_mas_alpha.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_alpha.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_alpha.yml,Non-Compliant,37:45,error,new-line-at-end-of-file,37:45: no new line character at the end of file (new-line-at-end-of-file)
gp_btp_repo,private,jb_btp_vendor_contact_mas_charlie.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_charlie.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_charlie.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (98 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_vendor_contact_mas_controls_sap.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_controls_sap.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_controls_sap.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (98 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_vendor_contact_mas_foxtrot.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_foxtrot.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_foxtrot.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (98 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_vendor_contact_mas_powermax.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_powermax.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_powermax.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (98 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_vendor_contact_mas_sierra.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_sierra.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_sierra.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (98 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_vendor_contact_mas_uniform.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_uniform.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_uniform.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (98 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_vendor_contact_mas_zeal.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_zeal.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_contact_mas_zeal.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (98 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_vendor_partner_ref.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_partner_ref.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_partner_ref.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (94 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_vendor_type_ref.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_type_ref.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_type_ref.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (91 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_vtt_daily_terms_ref.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vtt_daily_terms_ref.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vtt_daily_terms_ref.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (95 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_zeal_erp_commodity_ref.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_zeal_erp_commodity_ref.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_zeal_erp_commodity_ref.yml,Non-Compliant,38:1,error,empty-lines,38:1: too many blank lines (1 > 0) (empty-lines)
gp_btp_repo,private,jb_ddl_adhoc_script_btp.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp.yml,Non-Compliant,1:1,warning,document-start,"1:1: missing document start ""---"" (document-start)"
gp_btp_repo,private,jb_ddl_adhoc_script_btp_gold.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp_gold.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp_gold.yml,Non-Compliant,10:81,error,line-length,10:81: line too long (1662 > 80 characters) (line-length)
gp_btp_repo,private,jb_ddl_adhoc_script_btp_initcap.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp_initcap.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp_initcap.yml,Non-Compliant,10:81,error,line-length,10:81: line too long (82 > 80 characters) (line-length)
gp_btp_repo,private,jb_ddl_adhoc_script_btp_logistic1.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp_logistic1.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp_logistic1.yml,Non-Compliant,10:81,error,line-length,10:81: line too long (1603 > 80 characters) (line-length)
gp_btp_repo,private,jb_ddl_adhoc_script_btp_logistic2.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp_logistic2.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp_logistic2.yml,Non-Compliant,10:81,error,line-length,10:81: line too long (1047 > 80 characters) (line-length)
gp_btp_repo,private,jb_ddl_adhoc_script_btp_one_time_load.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp_one_time_load.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_ddl_adhoc_script_btp_one_time_load.yml,Non-Compliant,10:81,error,line-length,10:81: line too long (81 > 80 characters) (line-length)
gp_btp_repo,private,wf_btp_etlframework_test.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/wf_btp_etlframework_test.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/wf_btp_etlframework_test.yml,Non-Compliant,1:1,warning,document-start,"1:1: missing document start ""---"" (document-start)"
