Repository,YAML File,YAML File Path,Status,Violations
GP_AF_SAL,sal_j_comm_parts_price_list_v8.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_comm_parts_price_list_v8.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_j_comm_parts_quote_attachments_t_v7.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_comm_parts_quote_attachments_t_v7.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_j_comm_sot_sfdc_account_planning_event_load_v9.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_comm_sot_sfdc_account_planning_event_load_v9.yml,Compliant,
GP_AF_SAL,sal_J_f_PMX_02b00_Sales_Order_Header_T.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_f_PMX_02b00_Sales_Order_Header_T.yml,Compliant,
GP_AF_SAL,sal_J_geps_quote_headers_dw_t.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_geps_quote_headers_dw_t.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_geps_quote_headers_dw_t.yml"", line 36, column 15"
GP_AF_SAL,sal_J_geps_quote_lines_dw_t.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_geps_quote_lines_dw_t.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_geps_quote_lines_dw_t.yml"", line 36, column 15"
GP_AF_SAL,sal_J_oppty_sfdc_e1contract_site_equip_gp.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_oppty_sfdc_e1contract_site_equip_gp.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_oppty_sfdc_e1contract_site_equip_gp.yml"", line 22, column 15"
GP_AF_SAL,sal_J_pmx_02b05_sales_order_item_t.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_pmx_02b05_sales_order_item_t.yml,Compliant,
GP_AF_SAL,sal_J_pmx_osip_pos_admin_wf_bom_data.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_pmx_osip_pos_admin_wf_bom_data.yml,Compliant,
GP_AF_SAL,sal_j_pmx_sales_orders_mor_data.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_pmx_sales_orders_mor_data.yml,Compliant,
GP_AF_SAL,sal_J_pmx_zosip_headerdata.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_pmx_zosip_headerdata.yml,Compliant,
GP_AF_SAL,sal_J_pmx_zosip_pos_detail.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_pmx_zosip_pos_detail.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_pmx_zosip_pos_detail.yml"", line 22, column 15"
GP_AF_SAL,sal_J_quote_cpq_ps_ares_cmu_conversion.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_quote_cpq_ps_ares_cmu_conversion.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_quote_cpq_ps_ares_cmu_conversion.yml"", line 24, column 15"
GP_AF_SAL,sal_J_sales_order_audit_history_sot.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_sales_order_audit_history_sot.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_sales_order_audit_history_sot.yml"", line 22, column 15"
GP_AF_SAL,sal_J_sap_repairs_sales_order_header_sot.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_sap_repairs_sales_order_header_sot.yml,Compliant,
GP_AF_SAL,sal_J_sap_repairs_sales_order_line_sot.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_sap_repairs_sales_order_line_sot.yml,Compliant,
GP_AF_SAL,sal_j_sfdc_commops_metrics.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_sfdc_commops_metrics.yml,Compliant,
GP_AF_SAL,sal_j_sfdc_e1ge_pw_target__c_sot.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_sfdc_e1ge_pw_target__c_sot.yml,Compliant,
GP_AF_SAL,sal_J_sfdc_e1strategic_deal_c_sot.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_sfdc_e1strategic_deal_c_sot.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_sfdc_e1strategic_deal_c_sot.yml"", line 25, column 15"
GP_AF_SAL,sal_j_sfdc_outage_oppty_csot.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_sfdc_outage_oppty_csot.yml,Compliant,
GP_AF_SAL,sal_J_zeal_sales_order_header_lines_sot.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_zeal_sales_order_header_lines_sot.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_J_zeal_sales_order_header_lines_sot.yml"", line 20, column 15"
GP_AF_SAL,sal_pmx_osip_data_load.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_pmx_osip_data_load.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_pmx_osip_data_load.yml"", line 21, column 15"
GP_AF_SAL,sal_PW_AMERICAS_jb_oppty_product_details_amr.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_PW_AMERICAS_jb_oppty_product_details_amr.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_PW_AMERICAS_jb_oppty_product_details_amr.yml"", line 22, column 15"
GP_AF_SAL,sal_sal_alpha_pdl_to_cwb_api_post_EDL2.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sal_alpha_pdl_to_cwb_api_post_EDL2.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_sal_alpha_pdl_to_cwb_EDL2.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sal_alpha_pdl_to_cwb_EDL2.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_sal_box_2gp_pmx_mor_data_EDL2.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sal_box_2gp_pmx_mor_data_EDL2.yml,Compliant,
GP_AF_SAL,sal_sal_comm_fin_weekly_plan.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sal_comm_fin_weekly_plan.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sal_comm_fin_weekly_plan.yml"", line 19, column 15"
GP_AF_SAL,sal_sal_echo_pdl_to_cwb_api_post_EDL2.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sal_echo_pdl_to_cwb_api_post_EDL2.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_sal_echo_pdl_to_cwb_EDL2.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sal_echo_pdl_to_cwb_EDL2.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_SAL_EDL2_america_decarb_Smartsheet2GP.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_SAL_EDL2_america_decarb_Smartsheet2GP.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_sal_EDL2_Box_to_Greenplum_ing_comm_opps_target_box.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sal_EDL2_Box_to_Greenplum_ing_comm_opps_target_box.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_SAL_EDL_asia_decarb_Smartsheet2GP.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_SAL_EDL_asia_decarb_Smartsheet2GP.yml,Compliant,
GP_AF_SAL,sal_SAL_EDL_emea_decarb_Smartsheet2GP.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_SAL_EDL_emea_decarb_Smartsheet2GP.yml,Compliant,
GP_AF_SAL,sal_SAL_HFM_COMM_FIN_EDL_BOX2GP.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_SAL_HFM_COMM_FIN_EDL_BOX2GP.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_sal_rpa_bot_box_outgestion.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sal_rpa_bot_box_outgestion.yml,Compliant,
GP_AF_SAL,sal_sal_sfdc_comm_fin_product_weekly_load.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sal_sfdc_comm_fin_product_weekly_load.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sal_sfdc_comm_fin_product_weekly_load.yml"", line 21, column 15"
GP_AF_SAL,sal_sap_repairs_sot.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sap_repairs_sot.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sap_repairs_sot.yml"", line 21, column 15"
GP_AF_SAL,sal_sfdc_e1region_hierarchy.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sfdc_e1region_hierarchy.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sfdc_e1region_hierarchy.yml"", line 15, column 15"
GP_AF_SAL,sal_sls_parts_search_outgestion.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sls_parts_search_outgestion.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_sls_parts_search_outgestion.yml"", line 21, column 15"
GP_AF_SAL,sal_tac_sal_charlie_crv_automated.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sal_charlie_crv_automated.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sal_charlie_crv_automated.yml"", line 16, column 15"
GP_AF_SAL,sal_tac_sal_greenville_crv_automated.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sal_greenville_crv_automated.yml,Compliant,
GP_AF_SAL,sal_tac_sal_parts_crv_automated.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sal_parts_crv_automated.yml,Compliant,
GP_AF_SAL,sal_tac_sal_sap_crv_automated.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sal_sap_crv_automated.yml,Compliant,
GP_AF_SAL,sal_tac_sfdc_campaign_opportunity_product.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sfdc_campaign_opportunity_product.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sfdc_campaign_opportunity_product.yml"", line 22, column 15"
GP_AF_SAL,sal_tac_sfdc_oppty_rstatus_harmonized_csot.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sfdc_oppty_rstatus_harmonized_csot.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sfdc_oppty_rstatus_harmonized_csot.yml"", line 22, column 15"
GP_AF_SAL,sal_tac_sfdc_outage_installedbase_csot.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sfdc_outage_installedbase_csot.yml,Compliant,
GP_AF_SAL,sal_tac_sfdc_pmo_project_details.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sfdc_pmo_project_details.yml,Compliant,
GP_AF_SAL,sal_tac_sfdc_slotstatus_weekly_snapshot.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_tac_sfdc_slotstatus_weekly_snapshot.yml,Compliant,
GP_AF_SAL,sal_sal_box_2gp_pmx_mor_data_EDL2_DBR.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\EDL_DBR_Phase3\sal_sal_box_2gp_pmx_mor_data_EDL2_DBR.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_SAL_DEV_EDL_Box_to_Greenplum_ing_Geographic_Hierarchy_sfdc_DBR.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\EDL_DBR_Phase3\sal_SAL_DEV_EDL_Box_to_Greenplum_ing_Geographic_Hierarchy_sfdc_DBR.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_SAL_EDL2_america_decarb_Smartsheet2GP_DBR.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\EDL_DBR_Phase3\sal_SAL_EDL2_america_decarb_Smartsheet2GP_DBR.yml,Compliant,
GP_AF_SAL,sal_SAL_EDL_americas_decarb_box2GP_DBR.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\EDL_DBR_Phase3\sal_SAL_EDL_americas_decarb_box2GP_DBR.yml,Compliant,
GP_AF_SAL,sal_SAL_EDL_asia_decarb_Smartsheet2GP_DBR.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\EDL_DBR_Phase3\sal_SAL_EDL_asia_decarb_Smartsheet2GP_DBR.yml,Compliant,
GP_AF_SAL,sal_SAL_EDL_Box_to_Greenplum_ing_nex_country_mapping_DBR.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\EDL_DBR_Phase3\sal_SAL_EDL_Box_to_Greenplum_ing_nex_country_mapping_DBR.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_SAL_EDL_emea_decarb_Smartsheet2GP_DBR.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\EDL_DBR_Phase3\sal_SAL_EDL_emea_decarb_Smartsheet2GP_DBR.yml,Compliant,
GP_AF_SAL,sal_SAL_HFM_COMM_FIN_BOX2GP_DBR.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\EDL_DBR_Phase3\sal_SAL_HFM_COMM_FIN_BOX2GP_DBR.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_SAL_HFM_COMM_FIN_EDL_BOX2GP_DBR.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\EDL_DBR_Phase3\sal_SAL_HFM_COMM_FIN_EDL_BOX2GP_DBR.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_SAL_Market_Dispatch_KPI_Box2GP_DBR.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\EDL_DBR_Phase3\sal_SAL_Market_Dispatch_KPI_Box2GP_DBR.yml,Non-Compliant,No interval scheduled for this job
